,traffic-nj511-minutes-i-278_from_the_nj_turnpike_to_the_west_shore_expressway
0,10.0
1,10.0
2,10.0
3,10.0
4,11.0
5,12.0
6,11.0
7,11.0
8,12.0
9,10.0
10,11.0
11,11.0
12,11.0
13,11.0
14,12.0
15,12.0
16,12.0
17,14.0
18,13.0
19,13.0
20,14.0
21,14.0
22,16.0
23,15.0
24,15.0
25,15.0
26,14.0
27,12.0
28,14.0
29,13.0
30,12.0
31,12.0
32,12.0
33,11.0
34,14.0
35,12.0
36,11.0
37,9.0
38,9.0
39,9.0
40,8.0
41,7.0
42,6.0
43,6.0
44,6.0
45,5.0
46,4.0
47,4.0
48,4.0
49,4.0
50,4.0
51,4.0
52,4.0
53,4.0
54,4.0
55,4.0
56,4.0
57,4.0
58,3.0
59,3.0
60,3.0
61,3.0
62,3.0
63,3.0
64,3.0
65,3.0
66,3.0
67,3.0
68,3.0
69,3.0
70,3.0
71,3.0
72,3.0
73,3.0
74,3.0
75,3.0
76,3.0
77,3.0
78,3.0
79,3.0
80,3.0
81,3.0
82,3.0
83,3.0
84,3.0
85,3.0
86,3.0
87,3.0
88,3.0
89,3.0
90,3.0
91,3.0
92,3.0
93,3.0
94,3.0
95,3.0
96,3.0
97,3.0
98,3.0
99,3.0
100,3.0
101,3.0
102,3.0
103,3.0
104,3.0
105,3.0
106,3.0
107,3.0
108,3.0
109,3.0
110,3.0
111,3.0
112,3.0
113,3.0
114,3.0
115,3.0
116,3.0
117,3.0
118,3.0
119,3.0
120,3.0
121,3.0
122,3.0
123,4.0
124,3.0
125,3.0
126,3.0
127,3.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,3.0
134,3.0
135,3.0
136,3.0
137,3.0
138,3.0
139,3.0
140,3.0
141,3.0
142,3.0
143,3.0
144,3.0
145,3.0
146,3.0
147,3.0
148,3.0
149,3.0
150,3.0
151,3.0
152,3.0
153,3.0
154,3.0
155,3.0
156,3.0
157,3.0
158,3.0
159,3.0
160,3.0
161,3.0
162,3.0
163,3.0
164,3.0
165,3.0
166,3.0
167,3.0
168,3.0
169,3.0
170,3.0
171,3.0
172,3.0
173,3.0
174,3.0
175,3.0
176,3.0
177,3.0
178,3.0
179,3.0
180,3.0
181,3.0
182,3.0
183,3.0
184,3.0
185,3.0
186,3.0
187,3.0
188,3.0
189,3.0
190,3.0
191,3.0
192,3.0
193,3.0
194,3.0
195,3.0
196,3.0
197,3.0
198,3.0
199,3.0
200,3.0
201,3.0
202,3.0
203,3.0
204,3.0
205,3.0
206,3.0
207,3.0
208,3.0
209,3.0
210,3.0
211,3.0
212,3.0
213,3.0
214,3.0
215,3.0
216,3.0
217,3.0
218,3.0
219,3.0
220,3.0
221,3.0
222,3.0
223,3.0
224,3.0
225,3.0
226,3.0
227,3.0
228,3.0
229,3.0
230,3.0
231,3.0
232,3.0
233,3.0
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
239,3.0
240,3.0
241,3.0
242,3.0
243,3.0
244,3.0
245,3.0
246,3.0
247,3.0
248,3.0
249,3.0
250,3.0
251,3.0
252,3.0
253,3.0
254,3.0
255,3.0
256,3.0
257,3.0
258,3.0
259,3.0
260,3.0
261,3.0
262,3.0
263,3.0
264,3.0
265,3.0
266,3.0
267,3.0
268,3.0
269,3.0
270,3.0
271,3.0
272,3.0
273,3.0
274,3.0
275,3.0
276,3.0
277,3.0
278,3.0
279,3.0
280,3.0
281,3.0
282,3.0
283,3.0
284,3.0
285,3.0
286,3.0
287,3.0
288,3.0
289,3.0
290,3.0
291,3.0
292,3.0
293,3.0
294,3.0
295,3.0
296,3.0
297,3.0
298,3.0
299,3.0
300,3.0
301,3.0
302,3.0
303,3.0
304,3.0
305,3.0
306,3.0
307,3.0
308,3.0
309,3.0
310,3.0
311,3.0
312,3.0
313,3.0
314,3.0
315,4.0
316,4.0
317,4.0
318,5.0
319,4.0
320,5.0
321,7.0
322,7.0
323,8.0
324,7.0
325,7.0
326,6.0
327,7.0
328,7.0
329,6.0
330,5.0
331,6.0
332,8.0
333,6.0
334,6.0
335,6.0
336,6.0
337,6.0
338,6.0
339,7.0
340,7.0
341,9.0
342,10.0
343,10.0
344,11.0
345,13.0
346,13.0
347,14.0
348,13.0
349,13.0
350,14.0
351,14.0
352,14.0
353,15.0
354,15.0
355,14.0
356,16.0
357,15.0
358,14.0
359,13.0
360,13.0
361,13.0
362,13.0
363,16.0
364,15.0
365,15.0
366,12.0
367,13.0
368,14.0
369,13.0
370,15.0
371,12.0
372,11.0
373,11.0
374,13.0
375,12.0
376,11.0
377,13.0
378,15.0
379,16.0
380,13.0
381,11.0
382,14.0
383,13.0
384,12.0
385,11.0
386,11.0
387,12.0
388,13.0
389,13.0
390,15.0
391,15.0
392,15.0
393,14.0
394,15.0
395,17.0
396,17.0
397,16.0
398,15.0
399,13.0
400,15.0
401,15.0
402,14.0
403,14.0
404,16.0
405,15.0
406,15.0
407,17.0
408,14.0
409,14.0
410,16.0
411,20.0
412,16.0
413,15.0
414,17.0
415,14.0
416,13.0
417,17.0
418,17.0
419,15.0
420,16.0
421,14.0
422,15.0
423,18.0
424,17.0
425,17.0
426,19.0
427,20.0
428,21.0
429,20.0
430,15.0
431,19.0
432,18.0
433,18.0
434,17.0
435,19.0
436,19.0
437,17.0
438,15.0
439,18.0
440,18.0
441,21.0
442,21.0
443,21.0
444,23.0
445,24.0
446,26.0
447,21.0
448,22.0
449,20.0
450,20.0
451,21.0
452,20.0
453,21.0
454,19.0
455,20.0
456,21.0
457,19.0
458,19.0
459,20.0
460,20.0
461,20.0
462,18.0
463,21.0
464,19.0
465,18.0
466,17.0
467,18.0
468,17.0
469,17.0
470,18.0
471,19.0
472,19.0
473,18.0
474,20.0
475,18.0
476,18.0
477,22.0
478,19.0
479,19.0
480,17.0
481,17.0
482,18.0
483,17.0
484,15.0
485,15.0
486,15.0
487,13.0
488,13.0
489,13.0
490,13.0
491,13.0
492,13.0
493,15.0
494,16.0
495,16.0
496,16.0
497,17.0
498,15.0
499,13.0
500,13.0
501,15.0
502,14.0
503,13.0
504,15.0
505,14.0
506,14.0
507,17.0
508,16.0
509,16.0
510,15.0
511,15.0
512,17.0
513,17.0
514,19.0
515,18.0
516,19.0
517,17.0
518,16.0
519,15.0
520,16.0
521,15.0
522,13.0
523,14.0
524,15.0
525,12.0
526,14.0
527,14.0
528,14.0
529,13.0
530,13.0
531,12.0
532,14.0
533,17.0
534,15.0
535,14.0
536,16.0
537,17.0
538,17.0
539,15.0
540,16.0
541,16.0
542,18.0
543,20.0
544,25.0
545,27.0
546,32.0
547,32.0
548,28.0
