,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-crying_cat_face,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes,emojitracker-twitter-kissing_cat_face_with_closed_eyes,emojitracker-twitter-cat_face
334,11.0,12.0,17.0,12.0,6.0,4.0,24.0,5.0,7.0
335,21.0,15.0,28.0,12.0,1.0,6.0,28.0,8.0,3.0
336,15.0,14.0,27.0,7.0,5.0,6.0,29.0,8.0,8.0
337,24.0,16.0,20.0,5.0,4.0,3.0,34.0,13.0,8.0
338,17.0,38.0,30.0,6.0,3.0,11.0,22.0,19.0,8.0
339,25.0,15.0,19.0,9.0,3.0,10.0,44.0,21.0,13.0
340,21.0,22.0,22.0,24.0,5.0,4.0,22.0,13.0,9.0
341,20.0,18.0,18.0,13.0,4.0,7.0,25.0,6.0,9.0
342,14.0,21.0,23.0,22.0,5.0,5.0,18.0,7.0,6.0
343,31.0,20.0,20.0,7.0,3.0,6.0,19.0,4.0,16.0
344,15.0,14.0,22.0,10.0,3.0,7.0,19.0,8.0,8.0
345,25.0,11.0,16.0,11.0,1.0,5.0,26.0,4.0,6.0
346,18.0,13.0,15.0,2.0,2.0,5.0,18.0,8.0,7.0
347,30.0,10.0,19.0,13.0,7.0,3.0,28.0,11.0,3.0
348,13.0,15.0,19.0,6.0,3.0,9.0,21.0,8.0,7.0
349,28.0,14.0,15.0,13.0,3.0,9.0,18.0,7.0,7.0
350,20.0,17.0,27.0,9.0,4.0,8.0,25.0,6.0,8.0
351,28.0,14.0,23.0,12.0,4.0,11.0,23.0,8.0,9.0
352,16.0,12.0,13.0,8.0,4.0,5.0,21.0,8.0,5.0
353,20.0,11.0,21.0,5.0,3.0,7.0,21.0,13.0,14.0
354,25.0,5.0,16.0,8.0,10.0,7.0,23.0,10.0,4.0
355,15.0,14.0,14.0,9.0,6.0,8.0,29.0,11.0,6.0
356,11.0,18.0,17.0,12.0,6.0,6.0,26.0,9.0,12.0
357,21.0,16.0,15.0,8.0,7.0,7.0,19.0,6.0,7.0
358,25.0,17.0,17.0,12.0,5.0,7.0,26.0,9.0,1.0
359,22.0,12.0,15.0,7.0,2.0,6.0,16.0,8.0,4.0
360,17.0,14.0,19.0,13.0,2.0,5.0,22.0,4.0,10.0
361,23.0,12.0,11.0,9.0,2.0,2.0,22.0,8.0,11.0
362,18.0,18.0,14.0,17.0,6.0,3.0,26.0,13.0,2.0
363,15.0,15.0,19.0,14.0,1.0,4.0,25.0,14.0,8.0
364,21.0,16.0,15.0,11.0,3.0,1.0,24.0,13.0,7.0
365,17.0,11.0,17.0,11.0,4.0,4.0,26.0,6.0,5.0
366,17.0,13.0,17.0,12.0,2.0,5.0,17.0,9.0,6.0
367,27.0,11.0,17.0,9.0,4.0,7.0,21.0,13.0,6.0
368,34.0,15.0,19.0,10.0,1.0,13.0,20.0,12.0,6.0
369,21.0,6.0,19.0,11.0,5.0,9.0,17.0,7.0,5.0
370,22.0,5.0,25.0,11.0,2.0,8.0,25.0,7.0,5.0
371,20.0,10.0,17.0,5.0,8.0,6.0,16.0,7.0,7.0
372,20.0,14.0,28.0,9.0,6.0,11.0,26.0,7.0,5.0
373,23.0,8.0,20.0,12.0,10.0,9.0,25.0,7.0,8.0
374,15.0,7.0,10.0,11.0,1.0,10.0,22.0,7.0,7.0
375,18.0,15.0,24.0,9.0,3.0,10.0,14.0,9.0,9.0
376,23.0,18.0,14.0,12.0,3.0,7.0,20.0,10.0,8.0
377,15.0,7.0,15.0,16.0,6.0,9.0,24.0,8.0,5.0
378,23.0,12.0,14.0,13.0,8.0,7.0,18.0,9.0,4.0
379,11.0,7.0,11.0,11.0,7.0,9.0,24.0,2.0,10.0
380,17.0,13.0,14.0,9.0,14.0,8.0,29.0,7.0,7.0
381,25.0,10.0,16.0,10.0,10.0,4.0,13.0,5.0,9.0
382,29.0,17.0,25.0,8.0,9.0,7.0,19.0,9.0,2.0
383,22.0,14.0,18.0,12.0,6.0,7.0,32.0,5.0,8.0
384,23.0,18.0,22.0,11.0,9.0,4.0,28.0,11.0,6.0
385,24.0,17.0,23.0,12.0,13.0,5.0,23.0,14.0,4.0
386,19.0,13.0,18.0,10.0,5.0,11.0,24.0,11.0,7.0
387,18.0,15.0,18.0,13.0,9.0,6.0,30.0,9.0,9.0
388,32.0,19.0,13.0,4.0,6.0,6.0,24.0,12.0,15.0
389,29.0,13.0,27.0,11.0,5.0,7.0,13.0,9.0,11.0
390,18.0,17.0,16.0,8.0,6.0,5.0,24.0,7.0,0.0
391,20.0,12.0,13.0,9.0,4.0,7.0,23.0,4.0,8.0
392,19.0,10.0,13.0,7.0,6.0,7.0,15.0,9.0,3.0
393,18.0,8.0,16.0,7.0,1.0,3.0,20.0,7.0,8.0
394,26.0,14.0,15.0,11.0,3.0,6.0,26.0,8.0,10.0
395,16.0,17.0,22.0,11.0,4.0,7.0,20.0,6.0,2.0
396,25.0,13.0,31.0,7.0,5.0,8.0,21.0,3.0,2.0
397,22.0,10.0,21.0,10.0,1.0,2.0,15.0,6.0,8.0
398,23.0,12.0,20.0,6.0,6.0,5.0,21.0,9.0,11.0
399,19.0,16.0,22.0,10.0,1.0,4.0,21.0,7.0,9.0
400,19.0,11.0,19.0,11.0,3.0,3.0,19.0,5.0,5.0
401,15.0,14.0,22.0,9.0,1.0,6.0,19.0,3.0,7.0
402,24.0,13.0,22.0,6.0,1.0,5.0,26.0,7.0,8.0
403,20.0,10.0,18.0,15.0,2.0,4.0,18.0,6.0,6.0
404,16.0,11.0,16.0,10.0,3.0,8.0,21.0,9.0,7.0
405,19.0,16.0,15.0,8.0,5.0,3.0,23.0,8.0,6.0
406,17.0,14.0,16.0,5.0,5.0,7.0,24.0,9.0,9.0
407,20.0,22.0,28.0,15.0,4.0,5.0,20.0,6.0,4.0
408,14.0,13.0,27.0,5.0,2.0,10.0,24.0,9.0,10.0
409,19.0,21.0,22.0,11.0,6.0,4.0,23.0,5.0,3.0
410,28.0,12.0,17.0,9.0,1.0,5.0,20.0,4.0,7.0
411,23.0,12.0,10.0,7.0,3.0,7.0,21.0,4.0,6.0
412,23.0,12.0,26.0,18.0,3.0,5.0,18.0,12.0,5.0
413,24.0,13.0,23.0,9.0,3.0,6.0,26.0,6.0,7.0
414,17.0,20.0,15.0,6.0,0.0,5.0,20.0,11.0,2.0
415,20.0,15.0,15.0,9.0,0.0,7.0,16.0,10.0,4.0
416,21.0,8.0,20.0,6.0,4.0,11.0,33.0,9.0,6.0
417,23.0,15.0,14.0,9.0,5.0,3.0,18.0,8.0,6.0
418,28.0,8.0,14.0,10.0,3.0,7.0,17.0,8.0,8.0
419,21.0,10.0,12.0,5.0,3.0,7.0,28.0,7.0,2.0
420,26.0,16.0,19.0,18.0,5.0,3.0,15.0,4.0,7.0
421,26.0,13.0,24.0,7.0,6.0,2.0,20.0,11.0,10.0
422,22.0,12.0,19.0,4.0,3.0,10.0,20.0,5.0,3.0
423,22.0,20.0,28.0,5.0,3.0,6.0,27.0,3.0,8.0
424,26.0,10.0,13.0,10.0,7.0,4.0,24.0,9.0,6.0
425,20.0,19.0,18.0,7.0,8.0,4.0,24.0,8.0,7.0
426,23.0,12.0,23.0,7.0,3.0,10.0,17.0,9.0,7.0
427,13.0,16.0,13.0,11.0,2.0,10.0,18.0,8.0,10.0
428,24.0,16.0,15.0,7.0,3.0,2.0,20.0,7.0,6.0
429,17.0,14.0,18.0,16.0,1.0,7.0,30.0,9.0,11.0
430,12.0,12.0,30.0,10.0,1.0,7.0,20.0,10.0,7.0
431,15.0,14.0,14.0,12.0,6.0,1.0,23.0,6.0,9.0
432,22.0,9.0,14.0,6.0,2.0,4.0,19.0,6.0,7.0
433,18.0,17.0,16.0,10.0,6.0,9.0,27.0,13.0,7.0
434,24.0,16.0,18.0,11.0,5.0,1.0,20.0,5.0,6.0
435,17.0,16.0,20.0,7.0,3.0,6.0,22.0,7.0,8.0
436,19.0,17.0,26.0,15.0,3.0,10.0,19.0,9.0,7.0
437,15.0,12.0,19.0,14.0,4.0,2.0,22.0,3.0,4.0
438,23.0,12.0,18.0,9.0,8.0,4.0,15.0,5.0,10.0
439,12.0,7.0,14.0,11.0,2.0,7.0,19.0,5.0,4.0
440,26.0,17.0,21.0,8.0,8.0,5.0,18.0,6.0,6.0
441,23.0,7.0,18.0,6.0,4.0,5.0,19.0,5.0,7.0
442,20.0,9.0,24.0,10.0,2.0,5.0,20.0,4.0,5.0
443,20.0,10.0,15.0,9.0,7.0,6.0,16.0,4.0,7.0
444,26.0,11.0,28.0,7.0,7.0,5.0,19.0,11.0,5.0
445,24.0,14.0,21.0,8.0,4.0,5.0,20.0,6.0,5.0
446,17.0,14.0,18.0,5.0,2.0,6.0,15.0,7.0,10.0
447,28.0,13.0,15.0,8.0,2.0,10.0,12.0,3.0,4.0
448,23.0,18.0,29.0,10.0,5.0,5.0,25.0,11.0,7.0
449,21.0,13.0,16.0,9.0,7.0,4.0,14.0,4.0,2.0
450,21.0,8.0,22.0,7.0,1.0,6.0,18.0,4.0,3.0
451,18.0,15.0,21.0,8.0,6.0,7.0,21.0,3.0,4.0
452,20.0,10.0,13.0,11.0,4.0,6.0,27.0,5.0,4.0
453,22.0,18.0,21.0,8.0,4.0,3.0,25.0,8.0,6.0
454,19.0,14.0,14.0,11.0,6.0,3.0,15.0,3.0,5.0
455,23.0,13.0,20.0,8.0,4.0,3.0,17.0,7.0,7.0
456,15.0,9.0,16.0,9.0,6.0,3.0,29.0,6.0,10.0
457,24.0,12.0,13.0,13.0,2.0,6.0,24.0,3.0,4.0
458,21.0,12.0,21.0,9.0,10.0,5.0,15.0,4.0,8.0
459,28.0,14.0,16.0,10.0,3.0,7.0,22.0,9.0,8.0
460,18.0,14.0,16.0,9.0,4.0,4.0,15.0,10.0,8.0
461,15.0,11.0,13.0,10.0,8.0,3.0,25.0,7.0,9.0
462,14.0,5.0,13.0,11.0,7.0,8.0,18.0,6.0,7.0
463,22.0,6.0,20.0,9.0,3.0,2.0,17.0,8.0,4.0
464,17.0,15.0,24.0,12.0,3.0,6.0,18.0,8.0,5.0
465,17.0,12.0,18.0,5.0,1.0,11.0,17.0,5.0,7.0
466,11.0,11.0,21.0,10.0,1.0,4.0,18.0,6.0,4.0
467,23.0,13.0,13.0,8.0,6.0,13.0,19.0,8.0,8.0
468,30.0,8.0,20.0,6.0,1.0,2.0,15.0,10.0,3.0
469,15.0,10.0,25.0,8.0,8.0,2.0,20.0,5.0,2.0
470,15.0,11.0,9.0,5.0,4.0,2.0,24.0,5.0,3.0
471,12.0,14.0,18.0,8.0,3.0,4.0,15.0,12.0,8.0
472,21.0,7.0,24.0,8.0,3.0,2.0,18.0,4.0,3.0
473,24.0,16.0,16.0,13.0,5.0,5.0,20.0,5.0,8.0
474,18.0,19.0,18.0,10.0,5.0,5.0,15.0,7.0,1.0
475,30.0,11.0,22.0,14.0,5.0,5.0,18.0,7.0,2.0
476,17.0,18.0,16.0,10.0,2.0,6.0,21.0,2.0,3.0
477,27.0,6.0,17.0,12.0,1.0,3.0,22.0,7.0,3.0
478,24.0,13.0,19.0,5.0,7.0,5.0,20.0,11.0,7.0
479,18.0,15.0,20.0,7.0,3.0,4.0,21.0,5.0,6.0
480,13.0,7.0,13.0,10.0,4.0,6.0,20.0,10.0,1.0
481,25.0,8.0,8.0,11.0,3.0,6.0,16.0,4.0,5.0
482,27.0,8.0,20.0,5.0,6.0,5.0,17.0,6.0,4.0
483,10.0,10.0,13.0,7.0,5.0,3.0,21.0,6.0,2.0
484,24.0,10.0,10.0,5.0,4.0,4.0,17.0,5.0,2.0
485,22.0,11.0,14.0,8.0,3.0,6.0,21.0,7.0,3.0
486,18.0,11.0,12.0,7.0,5.0,4.0,16.0,5.0,5.0
487,21.0,6.0,24.0,3.0,5.0,5.0,31.0,5.0,6.0
488,14.0,12.0,24.0,5.0,3.0,2.0,21.0,6.0,7.0
489,12.0,13.0,25.0,12.0,2.0,4.0,17.0,5.0,6.0
490,24.0,12.0,17.0,9.0,9.0,6.0,15.0,7.0,5.0
491,26.0,6.0,9.0,6.0,0.0,0.0,23.0,5.0,2.0
492,20.0,6.0,19.0,7.0,3.0,6.0,23.0,10.0,7.0
493,23.0,12.0,26.0,9.0,3.0,8.0,23.0,9.0,7.0
494,20.0,14.0,19.0,1.0,3.0,5.0,14.0,9.0,12.0
495,21.0,12.0,18.0,6.0,4.0,7.0,24.0,5.0,3.0
496,14.0,13.0,17.0,5.0,2.0,5.0,15.0,7.0,5.0
497,18.0,9.0,13.0,9.0,3.0,6.0,20.0,8.0,7.0
498,27.0,11.0,18.0,6.0,2.0,8.0,39.0,8.0,6.0
499,18.0,14.0,11.0,5.0,4.0,6.0,20.0,6.0,3.0
500,15.0,12.0,21.0,3.0,1.0,4.0,22.0,6.0,7.0
501,33.0,14.0,24.0,16.0,5.0,5.0,14.0,14.0,3.0
502,14.0,10.0,12.0,6.0,2.0,2.0,22.0,4.0,11.0
503,22.0,9.0,20.0,6.0,4.0,7.0,14.0,1.0,3.0
504,15.0,11.0,17.0,8.0,6.0,3.0,14.0,4.0,4.0
505,16.0,15.0,19.0,2.0,3.0,5.0,20.0,11.0,1.0
506,18.0,9.0,14.0,8.0,2.0,4.0,28.0,4.0,5.0
507,20.0,7.0,16.0,4.0,4.0,2.0,14.0,13.0,5.0
508,23.0,8.0,21.0,9.0,5.0,4.0,19.0,7.0,8.0
509,18.0,11.0,17.0,7.0,0.0,4.0,19.0,8.0,7.0
510,16.0,14.0,21.0,5.0,1.0,2.0,19.0,6.0,3.0
511,22.0,14.0,15.0,8.0,1.0,7.0,13.0,9.0,6.0
512,21.0,9.0,12.0,2.0,1.0,5.0,11.0,8.0,6.0
513,24.0,9.0,14.0,8.0,1.0,5.0,16.0,4.0,7.0
514,18.0,8.0,19.0,3.0,5.0,2.0,15.0,11.0,5.0
515,21.0,8.0,14.0,11.0,4.0,5.0,17.0,7.0,4.0
516,23.0,12.0,9.0,4.0,6.0,2.0,26.0,9.0,6.0
517,30.0,15.0,20.0,3.0,3.0,1.0,19.0,10.0,5.0
518,19.0,9.0,16.0,8.0,3.0,4.0,21.0,8.0,9.0
519,23.0,13.0,6.0,5.0,4.0,1.0,19.0,4.0,4.0
520,18.0,13.0,24.0,7.0,4.0,4.0,18.0,6.0,8.0
521,17.0,13.0,25.0,14.0,1.0,5.0,17.0,3.0,3.0
522,25.0,5.0,21.0,5.0,3.0,3.0,18.0,6.0,7.0
523,19.0,21.0,12.0,5.0,4.0,5.0,17.0,7.0,5.0
524,20.0,8.0,17.0,6.0,7.0,3.0,28.0,7.0,3.0
525,28.0,11.0,15.0,9.0,4.0,6.0,24.0,4.0,5.0
526,20.0,14.0,19.0,7.0,4.0,3.0,18.0,6.0,4.0
527,34.0,4.0,15.0,12.0,4.0,8.0,11.0,2.0,6.0
528,20.0,10.0,23.0,5.0,5.0,5.0,17.0,6.0,6.0
529,15.0,13.0,14.0,7.0,5.0,4.0,21.0,5.0,3.0
530,17.0,13.0,17.0,7.0,0.0,6.0,19.0,8.0,6.0
531,17.0,9.0,10.0,5.0,4.0,4.0,15.0,7.0,7.0
532,25.0,6.0,16.0,8.0,3.0,2.0,18.0,11.0,4.0
533,20.0,7.0,17.0,4.0,2.0,5.0,14.0,6.0,3.0
534,24.0,6.0,20.0,8.0,2.0,5.0,15.0,1.0,6.0
535,26.0,10.0,17.0,5.0,7.0,6.0,18.0,11.0,10.0
536,23.0,8.0,14.0,7.0,1.0,8.0,16.0,6.0,8.0
537,18.0,12.0,17.0,5.0,3.0,3.0,20.0,7.0,7.0
538,13.0,12.0,13.0,7.0,2.0,4.0,18.0,9.0,3.0
539,23.0,12.0,19.0,8.0,4.0,6.0,22.0,7.0,7.0
540,25.0,8.0,22.0,6.0,3.0,3.0,11.0,3.0,7.0
541,21.0,10.0,20.0,7.0,4.0,4.0,17.0,5.0,7.0
542,25.0,11.0,21.0,4.0,4.0,2.0,26.0,5.0,4.0
543,22.0,11.0,15.0,3.0,2.0,5.0,17.0,9.0,5.0
544,20.0,10.0,16.0,5.0,3.0,5.0,16.0,10.0,5.0
545,17.0,12.0,16.0,4.0,1.0,5.0,24.0,6.0,6.0
546,12.0,7.0,21.0,9.0,3.0,4.0,21.0,3.0,6.0
547,20.0,15.0,11.0,3.0,3.0,4.0,19.0,5.0,4.0
548,22.0,14.0,15.0,5.0,4.0,2.0,15.0,3.0,5.0
549,16.0,8.0,12.0,13.0,1.0,4.0,24.0,5.0,6.0
550,8.0,7.0,21.0,2.0,2.0,1.0,15.0,8.0,11.0
551,22.0,12.0,15.0,10.0,5.0,4.0,18.0,4.0,3.0
552,13.0,14.0,12.0,4.0,1.0,7.0,14.0,5.0,4.0
553,26.0,6.0,19.0,6.0,4.0,2.0,21.0,6.0,9.0
554,15.0,6.0,14.0,3.0,5.0,10.0,18.0,17.0,5.0
555,12.0,10.0,11.0,5.0,3.0,6.0,20.0,11.0,7.0
556,16.0,8.0,22.0,3.0,5.0,9.0,15.0,3.0,3.0
557,19.0,6.0,12.0,4.0,6.0,7.0,19.0,10.0,9.0
558,16.0,11.0,21.0,8.0,5.0,11.0,23.0,7.0,8.0
559,24.0,9.0,15.0,3.0,1.0,7.0,22.0,7.0,5.0
560,24.0,9.0,19.0,7.0,2.0,7.0,19.0,7.0,10.0
561,20.0,10.0,20.0,7.0,4.0,8.0,16.0,7.0,6.0
562,16.0,15.0,16.0,4.0,5.0,3.0,18.0,6.0,4.0
563,20.0,13.0,22.0,10.0,4.0,3.0,23.0,3.0,4.0
564,21.0,16.0,21.0,5.0,1.0,2.0,12.0,8.0,5.0
565,24.0,18.0,19.0,6.0,4.0,4.0,16.0,5.0,9.0
566,22.0,13.0,28.0,6.0,5.0,7.0,14.0,9.0,9.0
567,19.0,10.0,24.0,3.0,3.0,2.0,25.0,4.0,6.0
568,14.0,13.0,17.0,8.0,5.0,8.0,16.0,7.0,7.0
569,21.0,7.0,12.0,3.0,6.0,6.0,16.0,8.0,8.0
570,17.0,10.0,18.0,5.0,9.0,3.0,17.0,10.0,6.0
571,19.0,5.0,14.0,9.0,4.0,3.0,22.0,11.0,3.0
572,17.0,11.0,10.0,14.0,2.0,5.0,25.0,1.0,8.0
573,14.0,6.0,13.0,9.0,3.0,4.0,12.0,3.0,4.0
574,16.0,13.0,17.0,6.0,5.0,2.0,18.0,9.0,11.0
575,21.0,17.0,15.0,7.0,1.0,2.0,32.0,11.0,10.0
576,21.0,9.0,13.0,6.0,2.0,2.0,11.0,9.0,6.0
577,21.0,8.0,18.0,5.0,4.0,3.0,16.0,4.0,8.0
578,19.0,7.0,12.0,7.0,3.0,3.0,21.0,5.0,4.0
579,16.0,12.0,22.0,3.0,2.0,4.0,19.0,10.0,5.0
580,18.0,16.0,15.0,8.0,5.0,6.0,21.0,7.0,7.0
581,21.0,14.0,23.0,7.0,4.0,1.0,22.0,5.0,5.0
582,18.0,11.0,22.0,5.0,1.0,3.0,15.0,5.0,9.0
583,22.0,12.0,16.0,5.0,4.0,10.0,17.0,5.0,15.0
584,13.0,12.0,18.0,5.0,2.0,3.0,13.0,4.0,5.0
585,12.0,12.0,10.0,4.0,1.0,7.0,13.0,9.0,7.0
586,17.0,10.0,15.0,7.0,2.0,0.0,9.0,10.0,8.0
587,21.0,10.0,22.0,5.0,4.0,9.0,16.0,6.0,12.0
588,22.0,8.0,18.0,6.0,2.0,5.0,20.0,12.0,7.0
589,22.0,19.0,15.0,3.0,1.0,9.0,16.0,7.0,8.0
590,18.0,6.0,18.0,12.0,6.0,7.0,12.0,4.0,5.0
591,15.0,10.0,9.0,6.0,6.0,5.0,18.0,3.0,4.0
592,22.0,15.0,16.0,6.0,2.0,4.0,16.0,6.0,7.0
593,21.0,10.0,17.0,4.0,4.0,1.0,18.0,3.0,4.0
594,20.0,5.0,18.0,6.0,1.0,3.0,15.0,8.0,7.0
595,18.0,8.0,16.0,4.0,6.0,4.0,8.0,6.0,4.0
596,17.0,7.0,9.0,12.0,1.0,9.0,15.0,6.0,5.0
597,19.0,12.0,15.0,5.0,3.0,1.0,14.0,8.0,4.0
598,23.0,16.0,15.0,4.0,3.0,4.0,21.0,4.0,5.0
599,17.0,13.0,16.0,5.0,4.0,5.0,14.0,5.0,7.0
600,17.0,5.0,14.0,3.0,3.0,6.0,12.0,3.0,3.0
601,17.0,17.0,13.0,5.0,2.0,8.0,13.0,2.0,4.0
602,20.0,15.0,15.0,8.0,4.0,5.0,20.0,9.0,7.0
603,14.0,8.0,17.0,8.0,1.0,6.0,20.0,4.0,7.0
604,17.0,10.0,10.0,4.0,2.0,2.0,20.0,4.0,3.0
605,17.0,9.0,16.0,5.0,4.0,7.0,20.0,3.0,3.0
606,14.0,15.0,11.0,5.0,3.0,6.0,28.0,7.0,2.0
607,13.0,8.0,16.0,5.0,4.0,5.0,22.0,8.0,2.0
608,21.0,11.0,14.0,8.0,0.0,2.0,18.0,7.0,5.0
609,23.0,9.0,20.0,3.0,1.0,2.0,19.0,7.0,7.0
610,24.0,12.0,19.0,5.0,1.0,3.0,19.0,5.0,5.0
611,20.0,5.0,12.0,3.0,1.0,4.0,20.0,10.0,8.0
612,21.0,7.0,17.0,4.0,3.0,1.0,23.0,8.0,5.0
613,25.0,9.0,20.0,9.0,7.0,5.0,23.0,3.0,6.0
614,19.0,10.0,28.0,7.0,2.0,4.0,14.0,7.0,2.0
615,17.0,7.0,22.0,3.0,2.0,3.0,19.0,5.0,3.0
616,10.0,7.0,18.0,7.0,3.0,3.0,13.0,11.0,3.0
617,17.0,9.0,20.0,11.0,4.0,7.0,16.0,5.0,0.0
618,14.0,13.0,12.0,8.0,3.0,4.0,24.0,3.0,6.0
619,13.0,11.0,8.0,4.0,8.0,4.0,32.0,9.0,5.0
620,16.0,10.0,22.0,7.0,7.0,3.0,17.0,7.0,6.0
621,15.0,10.0,12.0,7.0,1.0,2.0,20.0,5.0,4.0
622,19.0,6.0,14.0,4.0,4.0,9.0,15.0,6.0,5.0
623,24.0,19.0,17.0,12.0,2.0,3.0,15.0,5.0,1.0
624,16.0,10.0,14.0,4.0,4.0,2.0,22.0,5.0,2.0
625,23.0,13.0,16.0,6.0,1.0,4.0,21.0,12.0,6.0
626,19.0,10.0,10.0,4.0,3.0,4.0,19.0,7.0,2.0
627,13.0,11.0,16.0,2.0,5.0,7.0,16.0,5.0,5.0
628,22.0,10.0,16.0,6.0,3.0,11.0,23.0,7.0,3.0
629,15.0,12.0,21.0,7.0,6.0,6.0,19.0,5.0,3.0
630,15.0,9.0,10.0,7.0,6.0,9.0,23.0,5.0,5.0
631,13.0,18.0,14.0,4.0,8.0,2.0,19.0,6.0,4.0
632,20.0,9.0,20.0,8.0,3.0,3.0,20.0,7.0,5.0
633,25.0,12.0,8.0,7.0,4.0,7.0,22.0,9.0,9.0
634,22.0,9.0,14.0,5.0,4.0,4.0,21.0,16.0,2.0
635,17.0,14.0,19.0,6.0,6.0,4.0,14.0,5.0,6.0
636,17.0,14.0,22.0,7.0,4.0,4.0,14.0,7.0,5.0
637,22.0,7.0,16.0,6.0,5.0,7.0,25.0,8.0,5.0
638,15.0,10.0,13.0,5.0,8.0,5.0,18.0,8.0,3.0
639,20.0,11.0,19.0,5.0,7.0,4.0,18.0,5.0,9.0
640,18.0,5.0,13.0,4.0,4.0,4.0,20.0,6.0,5.0
641,16.0,11.0,19.0,5.0,4.0,6.0,16.0,7.0,4.0
642,15.0,13.0,22.0,5.0,1.0,7.0,21.0,5.0,7.0
643,17.0,13.0,22.0,5.0,3.0,7.0,24.0,5.0,7.0
644,24.0,3.0,20.0,3.0,2.0,5.0,13.0,13.0,3.0
645,23.0,5.0,17.0,8.0,6.0,5.0,17.0,6.0,1.0
646,16.0,15.0,18.0,4.0,2.0,4.0,27.0,5.0,4.0
647,26.0,13.0,11.0,5.0,6.0,3.0,25.0,11.0,4.0
648,11.0,6.0,16.0,3.0,3.0,4.0,18.0,5.0,10.0
649,17.0,7.0,26.0,10.0,4.0,6.0,24.0,15.0,2.0
650,15.0,13.0,15.0,9.0,2.0,6.0,13.0,12.0,3.0
651,17.0,8.0,14.0,7.0,4.0,10.0,17.0,11.0,4.0
652,20.0,10.0,15.0,4.0,2.0,4.0,20.0,5.0,2.0
653,10.0,11.0,15.0,6.0,3.0,3.0,22.0,5.0,7.0
654,13.0,8.0,16.0,5.0,5.0,5.0,20.0,4.0,3.0
655,18.0,8.0,9.0,10.0,4.0,5.0,19.0,8.0,8.0
656,15.0,10.0,12.0,5.0,2.0,5.0,23.0,6.0,7.0
657,15.0,10.0,19.0,5.0,4.0,4.0,22.0,6.0,5.0
658,17.0,9.0,12.0,11.0,2.0,2.0,17.0,8.0,8.0
659,17.0,14.0,21.0,7.0,1.0,7.0,16.0,11.0,5.0
660,24.0,7.0,15.0,9.0,5.0,5.0,20.0,7.0,3.0
661,17.0,14.0,14.0,5.0,4.0,6.0,13.0,3.0,8.0
662,22.0,8.0,23.0,12.0,2.0,3.0,22.0,8.0,3.0
663,16.0,13.0,19.0,5.0,5.0,7.0,18.0,5.0,2.0
664,16.0,11.0,20.0,8.0,4.0,7.0,19.0,8.0,3.0
665,19.0,9.0,9.0,6.0,2.0,8.0,18.0,5.0,4.0
666,16.0,15.0,19.0,7.0,0.0,8.0,20.0,8.0,4.0
667,21.0,13.0,20.0,4.0,4.0,7.0,19.0,7.0,7.0
668,9.0,15.0,7.0,5.0,7.0,3.0,20.0,16.0,3.0
669,24.0,13.0,18.0,12.0,3.0,3.0,25.0,12.0,3.0
670,15.0,12.0,13.0,5.0,5.0,6.0,21.0,6.0,11.0
671,24.0,4.0,19.0,7.0,5.0,9.0,18.0,13.0,6.0
672,22.0,8.0,19.0,7.0,4.0,4.0,21.0,10.0,4.0
673,19.0,1.0,22.0,4.0,5.0,6.0,18.0,10.0,10.0
674,18.0,4.0,16.0,5.0,0.0,9.0,22.0,9.0,4.0
675,17.0,17.0,15.0,2.0,3.0,2.0,19.0,12.0,8.0
676,14.0,13.0,15.0,4.0,2.0,6.0,15.0,6.0,11.0
677,18.0,12.0,18.0,7.0,4.0,8.0,22.0,13.0,6.0
678,21.0,15.0,18.0,2.0,1.0,7.0,23.0,5.0,7.0
679,17.0,10.0,21.0,5.0,3.0,2.0,19.0,7.0,11.0
680,15.0,8.0,10.0,3.0,2.0,8.0,20.0,9.0,8.0
681,24.0,18.0,27.0,3.0,2.0,9.0,21.0,6.0,6.0
682,18.0,10.0,18.0,6.0,4.0,1.0,26.0,6.0,11.0
683,17.0,11.0,24.0,3.0,3.0,2.0,20.0,5.0,7.0
684,15.0,12.0,21.0,6.0,5.0,3.0,14.0,7.0,9.0
685,18.0,6.0,22.0,1.0,2.0,5.0,16.0,2.0,7.0
686,12.0,4.0,19.0,9.0,2.0,3.0,13.0,5.0,6.0
687,19.0,4.0,16.0,6.0,3.0,6.0,16.0,11.0,7.0
688,20.0,9.0,16.0,6.0,2.0,4.0,18.0,6.0,5.0
689,18.0,6.0,12.0,5.0,2.0,5.0,22.0,8.0,4.0
690,8.0,10.0,13.0,8.0,4.0,2.0,14.0,8.0,4.0
691,18.0,9.0,17.0,3.0,4.0,4.0,22.0,6.0,6.0
692,22.0,4.0,15.0,3.0,2.0,5.0,22.0,5.0,8.0
693,26.0,16.0,20.0,2.0,1.0,7.0,13.0,5.0,8.0
694,13.0,11.0,15.0,7.0,2.0,7.0,17.0,8.0,4.0
695,16.0,7.0,19.0,9.0,2.0,6.0,26.0,6.0,5.0
